Title,Price,Link,Mileage,Color,State,Gearbox,Year,Cylindrée,Brand,Model,Body_type,Fuel
BMW X1 xdrive 2.0d AUTO,48000.0,https://www.tayara.tn/item/6828d2af52d04695c7aed46e/Voitures/Tunis/La_Marsa/BMW_X1_xdrive_20d_AUTO/,285000.0,Noir,Autres,Automatique,2010.0,,BMW,X1,Autres,Diesel
Suzuki celerio,31000.0,https://www.tayara.tn/item/6828d0ce6238a0abfdd1bf3a/Voitures/Tunis/Tunis/Suzuki_celerio_/,84000.0,Bleu,Avec kilométrage,Manuelle,2021.0,3.0L,Suzuki,Celerio,Compacte,Essence
MAHINDRA KUV 100 K 8,27500.0,https://www.tayara.tn/item/6828d0816238a0abfdd1beec/Voitures/Tunis/Le_Kram/MAHINDRA_KUV_100_K_8_/,105000.0,Gris,Avec kilométrage,Manuelle,2018.0,1.2L,Mahindra,Hover,Berline,Essence
pegout 205,7500.0,https://www.tayara.tn/item/6828cff26238a0abfdd1be54/Voitures/Monastir/Moknine/pegout_205/,258000.0,Bleu,Nouveau,Manuelle,,1.2L,Peugeot,205,Berline,Essence
mitsubishi 4×4,43500.0,https://www.tayara.tn/item/6828cfcc41532c94f15bb120/Voitures/Mdenine/Mdenine_Nord/mitsubishi_44/,210000.0,Noir,Nouveau,Manuelle,2013.0,2.5L,Mitsubishi,L200,4 x 4,Diesel
kia rio 2022,58000.0,https://www.tayara.tn/item/6828cf356238a0abfdd1bdad/Voitures/Tunis/Le_Bardo/kia_rio_2022/,43000.0,Noir,Nouveau,Manuelle,2022.0,1.2L,Kia,Rio,Compacte,Essence
301 allure,23500.0,https://www.tayara.tn/item/6828cf0641532c94f15bb079/Voitures/Jendouba/Jendouba/301_allure/,200000.0,Blanc,Avec kilométrage,Manuelle,2014.0,1.2L,Peugeot,301,Autres,Essence
Iveco Stralis,upon request,https://www.tayara.tn/item/6828cee26238a0abfdd1bd6e/Camions/Ben_Arous/Medina_Jedida/Iveco_Stralis/,,Autre,Autres,Autres,,,Autres,Autres,Autres,
forza GSM GWI3A,1450.0,https://www.tayara.tn/item/6828ce186238a0abfdd1bcc5/Motos/Ariana/Mnihla/forza_GSM_GWI3A/,999.0,Noir,Nouveau,Manuelle,2019.0,,Autres,Autres,Autres,
Partner k9,41.0,https://www.tayara.tn/item/6828cd0d41532c94f15baebf/Voitures/Sfax/Sfax/Partner_k9_/,130.0,Noir,Nouveau,Automatique,2020.0,1.6L,Peugeot,Partner,Autres,Diesel
Peugeot 108,upon request,https://www.tayara.tn/item/6828ccc541532c94f15bae83/Voitures/Ariana/Ariana/Peugeot_108/,40000.0,Gris,Avec kilométrage,Manuelle,2017.0,<1.0L,Peugeot,107,Compacte,Essence
DACIA DOKKER,41000.0,https://www.tayara.tn/item/6828cc996238a0abfdd1bb87/Voitures/La_Manouba/La_Manouba/DACIA_DOKKER_/,89000.0,Gris,Avec kilométrage,Manuelle,2022.0,1.5L,Dacia,Dokker,Berline,Diesel
